ID_NODO;COORDENADA_X;COORDENADA_Y;CENTRO_CERCANO;TIEMPO_CENTRO
0;43;67;4183;12.73374463
3;72;14;3131;23.20417756
5;102;64;3148;21.01775289
6;43;78;4183;19.93460074
16;67;72;2526;25.81710225
18;7;30;2205;18.24404649
19;40;55;2450;10.91954115
20;77;37;2989;38.06199189
21;34;72;3040;24.24610342
22;47;18;2693;5.342737139
34;7;54;2122;16.0710209
38;49;16;2693;13.32606584
41;7;67;2122;32.97504536
46;40;52;2450;2.705446489
48;49;88;3761;30.27606006
58;96;42;3966;7.558370296
63;26;37;3403;25.11981661
65;41;46;65;0
68;43;46;65;5.266015679
85;43;79;4183;22.71871903
90;63;72;2526;35.9473339
96;44;18;2693;13.03341612
98;72;68;2526;28.39528219
107;39;76;4168;39.9418531
109;59;16;2504;29.10751091
110;35;23;2458;16.07435927
116;64;54;2400;20.61841806
118;39;47;65;5.971700525
119;48;30;2693;28.54541093
120;49;51;4453;26.1902715
122;39;28;2625;21.70351897
125;103;47;3966;26.83381678
130;38;28;2625;24.30756263
134;53;86;4016;24.40781213
138;48;51;2450;24.62975356
139;49;65;4168;23.3347991
143;56;66;1999;31.6759104
144;64;42;632;7.773781811
146;48;52;2450;22.16459431
147;26;34;3403;17.67023445
150;64;68;2526;23.51802389
156;49;72;2509;24.71526701
159;43;93;3761;37.82599481
160;53;68;4183;33.95933401
161;38;17;3780;28.55812682
162;26;43;3531;34.9625003
165;83;42;3966;41.64396335
176;72;24;2504;29.34691602
179;90;70;2783;12.91713611
180;7;60;2122;35.52343061
181;54;76;4016;25.2173284
184;37;56;2450;16.4174131
191;68;23;2504;17.77970512
192;53;71;3700;33.06915769
196;29;50;2301;18.6827176
197;18;60;2122;22.0475073
199;77;24;3131;38.30930111
202;28;45;2301;14.97638387
204;68;98;3882;21.3938892
207;71;72;3481;25.0974107
208;18;64;2122;11.40555428
209;77;39;3564;34.02393144
210;2;30;2205;5.183635075
212;68;18;2504;14.93093587
213;38;30;2625;24.61400638
216;41;35;4009;45.75782006
217;35;55;2450;22.54732095
218;91;50;3966;40.01192038
222;66;35;2365;26.19141415
223;71;66;3175;24.90226748
229;19;50;3531;39.41427139
230;39;71;4168;26.8294171
234;74;16;3131;30.39395614
235;57;23;2693;32.33557328
238;48;23;3847;9.80875595
240;41;60;4168;16.59194669
241;65;70;2526;7.644354401
242;28;44;2301;17.6445845
247;51;41;4009;13.13410263
249;72;43;3564;15.39051595
250;8;39;2122;40.62137485
253;94;51;3966;42.29396909
255;43;30;3847;28.56082374
257;79;35;2989;41.85130183
258;34;44;3531;30.06823898
264;51;49;4009;17.92425185
267;77;36;2989;39.12305038
268;29;47;2301;13.37936313
269;85;61;3624;38.81810271
270;19;69;2122;24.48835465
271;54;56;1999;42.22848328
275;19;66;2122;16.90068186
276;41;66;4168;26.24274734
288;81;14;2504;66.88707124
294;73;45;3564;16.46008452
297;67;68;2526;15.25502314
300;40;29;2625;26.76224515
303;64;49;2400;11.32600543
305;34;88;3055;40.53128571
306;80;63;3624;30.8587802
314;46;58;4168;25.84133889
324;43;87;3761;22.72732492
325;66;41;2400;21.32330098
329;90;48;3966;45.72411883
331;73;61;1999;33.5539606
332;49;43;65;37.21932105
337;34;43;3531;27.62990102
340;67;71;2526;23.30655919
343;40;20;2625;9.872997005
349;27;84;4045;37.31271113
353;47;30;2693;26.10996023
354;71;50;2400;27.49131444
355;26;22;3015;20.88786129
356;47;34;4009;31.78791826
357;56;20;2693;32.53875681
360;48;29;3847;24.32665322
362;49;60;4168;24.23413642
369;46;79;4183;24.60631358
374;64;60;2526;28.50424241
379;46;33;4009;35.64494503
380;67;47;2400;27.73011332
393;47;62;4168;16.87578574
398;59;43;4009;26.81616785
404;47;80;4183;28.09704537
412;35;20;2458;16.77676391
413;79;49;3564;30.60977989
414;92;46;3966;33.04940289
424;48;1;2693;50.67824809
