ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
184;37;56;5.485635804;35.98677066;22.6348698;15.78397585;51.15553716;26.46223424;28.90349182;32.63875664;25.62945036;31.9855151;43.8862955;9.877859152;21.4764728;6.348114426;29.50710608;14.6264416;19.87089876;25.79612894;25.12041622;21.37468724;70.2918635;42.07138582;28.72785632;74.03718448;54.22398896;57.67175004
191;68;23;27.07655384;25.69851134;30.21908316;26.09259584;40.86727784;17.36497041;19.6734542;18.61520854;33.09201714;12.48421184;20.60871724;26.1496086;27.0057324;33.30284392;20.27706846;31.28466564;30.20508482;39.25392392;25.45337398;23.0659206;48.92213246;32.8413482;19.4978187;52.66745344;43.93572964;36.302019
192;53;71;21.27600716;27.50894206;18.66822736;12.1841243;42.67770856;17.86169089;32.05739698;26.3115341;20.78924102;26.90257764;43.04237154;20.20945194;16.79183135;11.57635623;32.66101124;11.72561719;9.280301626;19.25184803;10.9165213;12.95443642;63.82688668;45.22529098;31.88176148;67.57220764;45.74616036;51.20677322
196;29;50;8.124653456;37.16787582;22.68808338;23.2169204;52.33664234;27.64333942;21.29610114;35.97046788;25.94849644;32.97410554;37.92616282;6.835016474;19.17633262;12.73143295;21.8997154;20.81716858;27.3038433;33.22907348;27.09515102;30.21972496;66.33774812;34.46399514;21.12046564;70.0830691;55.40509414;53.71763466
197;18;60;14.76533084;28.1241952;13.64440275;24.56942232;43.2929617;18.59965878;18.98060574;26.92678724;16.90481582;27.51783078;35.47941068;15.96082035;10.13265199;15.42933703;19.58422;15.23229144;19.90056258;25.24403042;18.05147039;23.33914254;63.89099598;32.14849974;18.80497024;67.63631694;46.3614135;51.27088252
199;77;24;29.11587642;22.57695654;27.09752836;23.08998774;37.74572306;14.24341562;20.76946504;15.49365374;29.97046234;12.4369351;20.61364092;27.24561946;25.22113236;30.36728726;21.3730793;28.16311084;27.08353002;36.13236914;22.3318192;19.9443658;45.80057766;33.93735906;20.59382954;49.54589864;40.81417484;33.1804642
202;28;45;6.436822656;39.09726276;24.61747032;25.22168514;54.26602928;29.57272636;18.83867368;33.44214;27.87788338;30.38542134;35.33747862;4.586747954;21.10571956;15.2462962;19.44228794;22.41996718;29.30860806;35.23383824;29.02453796;32.24006138;63.74906392;32.0065677;18.66303819;67.4943849;57.33448108;51.12895046
204;68;98;31.16437988;23.42005832;19.7026956;25.99349068;38.58882482;13.8955219;33.09186522;22.22265036;22.28922766;22.8136939;38.9534878;32.3732851;17.82629959;22.9724545;33.69547948;20.76827808;17.70499644;11.98367978;11.73472611;18.63500566;59.73800294;46.25975922;32.91622972;63.48332392;41.65727662;47.11788948
207;71;72;27.3045636;21.18229846;21.11698682;11.56276465;35.57732748;8.180422582;34.50615644;20.06122736;23.9899208;20.6522709;36.7920648;29.5608654;19.24059081;20.8212441;35.1097707;18.47600472;9.52209316;23.43690304;10.93748329;4.548962486;57.57657994;47.67405044;34.33052094;61.32190092;38.64577928;44.95646648
208;18;64;16.89372144;25.9958046;11.51601215;25.91638372;41.1645711;16.47126818;16.85221513;24.79839664;14.77642521;25.38944018;33.35102008;18.08921095;8.004261384;16.37314623;17.45582939;13.10390083;17.77217197;23.11563982;15.92307979;21.21075194;61.76260536;30.02010914;16.67657964;65.50792634;44.2330229;49.1424919
209;77;39;25.91257258;23.24965654;27.77022836;20.14403398;38.41842304;14.91611561;25.90720564;15.14506263;30.64316234;6.718813296;27.16794598;24.35375662;25.89383236;29.8338022;26.5108199;28.83581084;27.00901446;36.80506912;23.00451918;17.045093;48.75501678;39.07509964;25.73157014;52.50033774;41.48687484;36.13490332
